Anno,Sede,NoPaíses,LugarMéxico
1989,Cuba,13,3
1990,España,15,3
1991,Argentina,16,5
1992,Venezuela,16,6
1993,México,16,9
1994,Brasil,16,6
1995,Chile,18,9
1996,Costa Rica,17,2
1997,México,17,3
1998,República Dominicana,18,5
1999,Cuba,20,3
2000,Venezuela,21,2
2001,Uruguay,21,3
2002,El Salvador,22,3
2003,Argentina,19,4
2004,España,22,5
2005,Colombia,22,2
2006,Ecuador,21,1
2007,Portugal,22,4
2008,Brasil,21,6
2009,México,21,5
2010,Paraguay,21,3
2011,Costa Rica,21,1
2012,Bolivia,19,6
2013,Panamá,20,3
2014,Honduras,22,1
2015,Puerto Rico,23,4
2016,Chile,22,4
2017,Argentina,22,4
2018,España y Portugal,22,4
2019,México,23,3
2020,Virtual,23,3
2021,Virtual,22,3
2022,Colombia,20,3
2023,Brasil,22,3
2024,Bolivia,21,5
