Anno,Sede,NoPaíses,LugarMéxico
1999,Costa Rica,10,2
2000,El Salvador,9,2
2001,Colombia,10,2
2002,México,8,1
2003,Costa Rica,11,1
2004,Nicaragua,12,1
2005,El Salvador,12,1
2006,Panamá,12,1
2007,Venezuela,12,1
2008,Honduras,12,2
2009,Colombia,12,1
2010,Puerto Rico,16,1
2011,México,12,1
2012,El Salvador,12,1
2013,Nicaragua,13,1
2014,Costa Rica,12,1
2015,México,13,1
2016,Jamaica,13,1
2017,El Salvador,14,1
2018,Cuba,12,1
2019,República Dominicana,13,1
2020,Virtual,13,1
2021,Virtual,12,1
2022,Costa Rica,12,1
2023,El Salvador,12,1
2024,Honduras,12,1
